market_ticker,city,event_date,temp_range_f,contracts,avg_entry_no_price_cents,contracts_exited_early,exchange_settlement,result,net_pnl_dollars
KXHIGHTHOU-26JUN25-B91.5,HOU,2026-06-25,91-92,1.0,55.0,0.0,YES (in range) - NO lost,LOSS,-0.56
KXHIGHAUS-26JUN25-B95.5,AUS,2026-06-25,95-96,1.0,38.0,0.0,NO (out of range) - NO won,WIN,0.61
KXHIGHTDAL-26JUN25-B95.5,DAL,2026-06-25,95-96,1.0,44.0,0.0,NO (out of range) - NO won,WIN,0.55
KXHIGHTSEA-26JUN26-B65.5,SEA,2026-06-26,65-66,1.0,40.0,0.0,YES (in range) - NO lost,LOSS,-0.41
KXHIGHTSATX-26JUN26-B92.5,SATX,2026-06-26,92-93,1.0,94.0,0.0,YES (in range) - NO lost,LOSS,-0.94
KXHIGHTDC-26JUN26-B90.5,DC,2026-06-26,90-91,1.0,44.0,0.0,YES (in range) - NO lost,LOSS,-0.45
KXHIGHTHOU-26JUN28-B94.5,HOU,2026-06-28,94-95,2.0,52.5,0.0,YES (in range) - NO lost,LOSS,-1.07
KXHIGHTSEA-26JUN28-B68.5,SEA,2026-06-28,68-69,1.0,67.0,0.0,YES (in range) - NO lost,LOSS,-0.68
KXHIGHAUS-26JUN29-B96.5,AUS,2026-06-29,96-97,1.0,64.0,0.0,YES (in range) - NO lost,LOSS,-0.65
KXHIGHTLV-26JUN29-B93.5,LV,2026-06-29,93-94,1.0,67.0,0.0,YES (in range) - NO lost,LOSS,-0.68
KXHIGHTSATX-26JUN30-B92.5,SATX,2026-06-30,92-93,1.0,38.0,1.0,YES (in range) - NO lost,LOSS,0.4
KXHIGHPHIL-26JUN30-B90.5,PHIL,2026-06-30,90-91,1.0,94.0,0.0,YES (in range) - NO lost,LOSS,-0.94
KXHIGHLAX-26JUN30-B71.5,LAX,2026-06-30,71-72,1.0,65.0,0.0,YES (in range) - NO lost,LOSS,-0.66
KXHIGHLAX-26JUL01-B71.5,LAX,2026-07-01,71-72,1.0,60.0,0.0,YES (in range) - NO lost,LOSS,-0.61
KXHIGHAUS-26JUL01-B95.5,AUS,2026-07-01,95-96,1.01,58.1,0.0,YES (in range) - NO lost,LOSS,-0.597
KXHIGHTLV-26JUL02-B98.5,LV,2026-07-02,98-99,1.0,65.0,0.0,NO (out of range) - NO won,WIN,0.34
KXHIGHDEN-26JUL03-B90.5,DEN,2026-07-03,90-91,1.0,92.0,0.0,YES (in range) - NO lost,LOSS,-0.92
KXHIGHTLV-26JUL03-B101.5,LV,2026-07-03,101-102,1.0,68.0,0.0,YES (in range) - NO lost,LOSS,-0.69
KXHIGHTBOS-26JUL03-B99.5,BOS,2026-07-03,99-100,1.0,59.0,0.0,YES (in range) - NO lost,LOSS,-0.6
KXHIGHTLV-26JUL04-B103.5,LV,2026-07-04,103-104,1.0,65.0,0.0,YES (in range) - NO lost,LOSS,-0.66
KXHIGHTDAL-26JUL04-B98.5,DAL,2026-07-04,98-99,1.0,52.0,0.0,YES (in range) - NO lost,LOSS,-0.53
KXHIGHTATL-26JUL05-B93.5,ATL,2026-07-05,93-94,1.0,58.0,0.0,YES (in range) - NO lost,LOSS,-0.59
KXHIGHTLV-26JUL05-B104.5,LV,2026-07-05,104-105,1.0,59.0,0.0,YES (in range) - NO lost,LOSS,-0.6
KXHIGHTLV-26JUL06-B106.5,LV,2026-07-06,106-107,1.0,64.0,0.0,YES (in range) - NO lost,LOSS,-0.65
KXHIGHTATL-26JUL06-B89.5,ATL,2026-07-06,89-90,1.0,40.0,0.0,NO (out of range) - NO won,WIN,0.59
KXHIGHDEN-26JUL06-B96.5,DEN,2026-07-06,96-97,1.0,94.0,0.0,YES (in range) - NO lost,LOSS,-0.94
KXHIGHTBOS-26JUL07-B69.5,BOS,2026-07-07,69-70,1.0,43.0,0.0,YES (in range) - NO lost,LOSS,-0.44
KXHIGHTLV-26JUL07-B108.5,LV,2026-07-07,108-109,1.0,60.0,0.0,YES (in range) - NO lost,LOSS,-0.61
KXHIGHTNOLA-26JUL08-B91.5,NOLA,2026-07-08,91-92,1.0,43.0,0.0,YES (in range) - NO lost,LOSS,-0.44
KXHIGHTLV-26JUL08-B109.5,LV,2026-07-08,109-110,1.0,81.0,0.0,YES (in range) - NO lost,LOSS,-0.82
KXHIGHTDC-26JUL08-B83.5,DC,2026-07-08,83-84,1.0,40.0,0.0,NO (out of range) - NO won,WIN,0.59
KXHIGHTLV-26JUL09-B109.5,LV,2026-07-09,109-110,2.0,46.0,0.0,NO (out of range) - NO won,WIN,1.06
KXHIGHTNOLA-26JUL10-B90.5,NOLA,2026-07-10,90-91,1.0,90.0,0.0,YES (in range) - NO lost,LOSS,-0.9
KXHIGHTDC-26JUL10-B89.5,DC,2026-07-10,89-90,1.0,47.0,0.0,YES (in range) - NO lost,LOSS,-0.48
KXHIGHTLV-26JUL10-B109.5,LV,2026-07-10,109-110,2.0,56.0,0.0,YES (in range) - NO lost,LOSS,-1.14
KXHIGHTBOS-26JUL11-B79.5,BOS,2026-07-11,79-80,1.0,46.0,0.0,NO (out of range) - NO won,WIN,0.53
KXHIGHTDAL-26JUL11-B97.5,DAL,2026-07-11,97-98,1.0,53.0,0.0,YES (in range) - NO lost,LOSS,-0.54
KXHIGHTMIN-26JUL12-B93.5,MIN,2026-07-12,93-94,1.0,45.0,0.0,NO (out of range) - NO won,WIN,0.54
KXHIGHTPHX-26JUL12-B107.5,PHX,2026-07-12,107-108,1.0,41.0,0.0,NO (out of range) - NO won,WIN,0.58
KXHIGHTLV-26JUL12-B107.5,LV,2026-07-12,107-108,1.0,56.0,0.0,YES (in range) - NO lost,LOSS,-0.57
KXHIGHTBOS-26JUL13-B87.5,BOS,2026-07-13,87-88,2.0,46.0,0.0,NO (out of range) - NO won,WIN,1.06
KXHIGHTDAL-26JUL14-B88.5,DAL,2026-07-14,88-89,1.0,33.0,0.0,NO (out of range) - NO won,WIN,0.66
KXHIGHTLV-26JUL14-B104.5,LV,2026-07-14,104-105,1.0,57.0,0.0,NO (out of range) - NO won,WIN,0.42
KXHIGHPHIL-26JUL15-B98.5,PHIL,2026-07-15,98-99,1.0,50.0,0.0,YES (in range) - NO lost,LOSS,-0.51
KXHIGHTDC-26JUL15-B100.5,DC,2026-07-15,100-101,1.0,42.0,0.0,NO (out of range) - NO won,WIN,0.57
KXHIGHTPHX-26JUL15-B106.5,PHX,2026-07-15,106-107,0.05,49.0,0.0,NO (out of range) - NO won,WIN,0.026
KXHIGHDEN-26JUL15-B93.5,DEN,2026-07-15,93-94,1.0,88.0,0.0,YES (in range) - NO lost,LOSS,-0.88
KXHIGHTLV-26JUL16-B107.5,LV,2026-07-16,107-108,1.0,54.0,0.0,YES (in range) - NO lost,LOSS,-0.55
